Customer,Street1,City,State,Zip,Latitude,Longitude,Website
Floral Expressions & Gifts,26 Main Street,Oswego,IL,60543,,,www.floralexpressionsandgifts.com
Flowerama,6311 East Main Street,Reynoldsburg,OH,43068,,,www.floweramacolumbus.com
Frankenmuth Florist,320 S. Franklin,Frankenmuth,MI,48734,,,www.frankenmuthfloristandgifts.com
Fresh Floral,27 East Main Street,Springville,NY,14141,,,www.freshfloralandgifts.com
Froehlich's,26 North Elm Street,Three Oaks,MI,49128,,,www.shopfroehlichs.com
Garden Safari & Gifts,1225 Estabrook Drive,St. Paul,MN,55103,,,www.comofriends.org
Gardener's Supply Company,128 Intervale Road,Burlington,VA,05401,,,www.gardeners.com
Gardens of Babylon,705B Fort Negley Ct.,Nashville,TN,37203,,,www.gardensofbabylon.com
Goodthings Inc,2184 4th Street,White Bear Lake,MN,55110,,,www.facebook.com/GoodthingsMN/about
Green with Envy,1111 Central Avenue # 200,Charlotte,NC,28204,,,www.envycharlotte.com
Island Lavender,10432 Water Street,Ephraim,WI,54211,,,www.islandlavender.com
It's All Arranged,7325 Bienville Blvd Hwy 90 East,Ocean Springs,MS,39564,,,www.facebook.com/ItsAllArrangedOS
Jeffrey's Flowers,5217 Simpson Ferry Road,Mechanicsburg,PA,17050,,,www.jeffreysflowers.org
Kentlands Flowers & Bows,364 Main Street,Gaithersburg,MD,20878,,,www.kentlandsflowersandbows.com
Lady Bird Johnson Wildflower Center,dbarrow@wildflower.org,,,78739,,,www.wildflower.org
Museum of Fine Arts Boston,Avenue of the Arts,Boston,MA,02115,,,www.mfa.org
Oldewick Post,134 South Hancock Stre,Pentwater,MI,49449,,,www.oldewick-post.com
Organic Skin & Nail Spa,104 Glenn Court,Mill Spring,NC,28756,,,www.facebook.com/organicskincareandnailspa
Bomba Tacos,19880 Detroit Road,Rocky River,OH,44116,,,www.paladargroup.com
Paper Princess,259 N. Hamilton St.,Dalton,GA,30720,,,www.paperprincessonline.com
"Petals, Flowers & Fine Gifts",Route 100 & Rockland Road,Montchanin,DE,19710,,,www.petalsflowersgifts.com
Relics,1219 W. Glen Ave.,Peoria,IL,61614,,,www.facebook.com/Relics-211026470718
Robins Nest on the Katy Trail,1867 Femme Osage Creek Road,Augusta,MO,63332,,,www.robinsnestonthekatytrail.com
San Antonio Botanical Garden,555 Funston Place,San Antonio,TX,78209,,,www.sabot.org
St. Louis Art Museum,One Fine Arts Drive Forest Park,St. Louis,MO,63110,,,www.slam.org
Tagawa Gardens,7711 S. Parker Road,Centennial,CO,80016,,,www.tagawagardens.com
The Blueberry Patch,1285 W. Hanley Road,Mansfield,OH,44904,,,www.theblueberrypatch.org
The Enchanted Garden,2429 Line Ave,Shreveport,LA,71104,,,www.enchantedfloristspringhill.com
The Flower Store,2290 Moores Mills Road,Auburn,AL,36830,,,www.stanleysistrunk.com
The Shops at Swedish,751 N.E. Blakely Drive,Issaquah,WA,98029,,,www.swedish.org/locations/issaquah-campus/the-shops-at-swedish
Thornberry Cottage,345 Cardinal Lane #5,Green Bay,WI,54313,,,www.thornberrycottage.com
Tipton & Hurst,Tipton Hurst,Little Rock,AK,72207,,,www.tiptonhurst.com
Blue Banana Market,250 Augusta Avenue,Toronto,ON,M5T 2L7,,,www.blue-banana-market.myshopify.com
C'est Bon,316A The Shops at Sea Pines Ctr.,Hilton Head Island,SC,29928,,,
Urban Roots,428 Rhode Island Street,Buffalo,NY,14213,,,www.urbanroots.org
Wahoo Wines & Provisions,Attn: Ski Peterson,Decatur,GA,30030,,,www.wahoowine.com
Wingard's Market,1403 North Lake Drive,Lexington,SC,29072,,,www.wingardsmarket.com
Zel's Del Mar,1247 Camino Del Mar,Del Mar,CA,92014,,,www.zelsdelmar.com
A Priori Designs,2112 Vine Street,Berkeley,CA,94709,,,www.aprioridesigns.com
CFA Colonial Folk Art Studio & Gallery,110 Bacon Avenue,Williamsburg,VA,23185,,,www.colonialfolkart.com
Washington Museum of Fine Arts,401 Museum Drive,Hagerstown,MD,21741,,,www.wcmfa.org
A & A Village Treasures,53 Chambersburg Street,Gettysburg,PA,17325,,,www.aavillagetreasures.com
Charlotte's Trove,819 East Main Street,Roaring Spring,PA,16673,,,www.charlottestrove.com
The Gift Shopped on Main,813 Main_Street,St. Brookville,IN,47012,,,www.giftshoppeonmain.com
Coco & Duckie,"8 North Holland Street, on the Square",Bellville,TX,77418,,,www.cocoandduckie.com
Tom's Thumb Nursery,2014 45th Street,Galveston,TX,77550,,,www.tomsthumbnursery.com
Gateway Garden Center,7277 Lancaster Pk.,Hockessin,DE,19707,,,www.gatewaygardens.com
Enchanted Florals of Elkhart Lake,141 E Rhine Street,Elkart Lake,WI,53020,,,www.enchantedfloralsofelkhartlake.com
Pesche's Flower Shop,170 S River Road,Des Plaines,IL,60016,,,www.pesches.com
Peaceful River Creations,243 5th Avenue S,Clinton,IA,52732,,,www.peacefulrivercreations.com
Redbud Creek Farm,2930 N 4351st Road,Sheridan,IL,60551,,,www.redbudcreekfarm.com
Old Bryan Marketplace,202 S Bryan Avenue,Bryan,TX,77803,,,www.oldbryan.com
Christian & Johnson,50 Vallombrosa Ave #100,Chico,CA,95926,,,www.christianandjohnson.com
The Gathered Earth,3402 N Richmond Street,Appleton,WI ,54911,,,www.thegatheredearth.com
Darla's Florist,6904 Boulevard 26,Richland Hills,TX,76180,,,www.darlasflorist.com
Spring Creek Designs,306 W Lakeway Road,Gillette,WY,82718,,,www.springcreekdesigns.net
Tree Top Nursery,5910 E 37th Street N,Wichita,KS,67220,,,www.treetop-nursery.com
Sunnycrest Flowers,7502 E State Street,Lowville,NY,13367,,,www.sunnycrestflowers.com
Wine Country,519 Piaget,Clifton ,NJ,07011,,,www.wc.ameronixdev.com/about-us
Sugar Grove Herbs,309 Georgian Place,Somerset,PA,15501,,,www.sugargroveherbs.blogspot.com/
Warrenton Jewelers & Gifts,"North Rock Shopping Center, 524 Fletcher Drive",Warrenton,VA,20186,,,www.warrentonjewelers.com
Longwood Botanical Gardens,1001 Longwood Road,Kennett Square,PA,19348,,,www.longwoodgardens.org
Desert Botanical Garden,1201 N. Galvin Prkwy Ste. 1501,Phoenix,AZ,85008,,,www.dbg.org
Newseum Store,555 Pennsylvania Ave NW,Washington,DC,20001,,,shop.newseum.org
Brooklyn Botanic Garden,990 Washington Ave,Brookyn,NY,11225,,,www.bbg.org
Washington National Cathedral,3101 Wisconsin Ave NW,Washington,DC,20016,,,shop.cathedral.org
Chicago Botanic Garden,1000 Lake Cook Road,Glencoe,IL,60022,,,www.chicagobotanic.org
Bru Market & Grill,36 Umbria,Irvine ,CA,92618,,,www.brugrill.com
Cleveland Botanical Garden,11030 East Blvd.,Cleveland,OH,44106,,,www.cbgarden.org
Umami Asian Kitchen,42 N Main Street,Chagrin Falls,OH,44022,,,www.umamichagrinfalls.com
Earth Sweet Botanicals,1224 Arapahoe Street,Golden ,CO,80401,,,www.earthsweetbotanicals.com
The Twisted Tulip,300 Fillmane Street,Denver,CO,80206,,,www.thetwistedtulip.com
Village Herb Shoppe,17 East Orange Street,Chagrin Falls,OH,44022,,,www.villageherbshop.com
Sidelines,511 East 135th Street,Kansas City,MO,64145,,,www.heysidelines.com
Organic Home Lifestyle,21137 Calistoga Road #171,Middletown,CA,95461,,,www.organic.garnerbarro.com/2017/02/05/organic-home-lifestyle-store-in-middletown-ca
District,1350 Euclid Avenue,Cleveland,OH,44115,,,www.districtcleveland.com
Market District,34310 Aurora Road,Solon,OH,44139,,,www.marketdistrict.com/store-locator/store-details?number=1630
Dining in Style,10105 Barton Street,Overlook Park,KS,66214,,,www.dininginstylekc.com
Aggieland Flowers & Chocolates,4081 Highway 6 S Suite 201,College Station,TX,77845,,,www.aggielandflowers.com
Linton's Enchanted Gardens,315 Co Road 17,Elkhart,IL,46516,,,www.lintons.com
Echter's Gardens,5150 Garrison Street,Arvada ,CO,80002,,,www.echters.com
Breezy Hill Nursery,7530 288th Avenue,Salem,WI,53168,,,www.breezyhillnursery.com
Gardener's Supply Co.,128 Intervale Road,Burlington,VT,05041,,,www.gardeners.com
Waukesha Floral,319 S Prairie Avenue,Waukesha,WI,53186,,,www.waukeshafloral.com
Frankenmuth Florist,320 S Franklin Street,Frankenmuth,MI,48734,,,www.frankenmuthfloristandgifts.com
Safflowers,468 US ROUTE 4,Enfield,NH,03748,,,www.safflowers.net
Des Moines Botanical Garden,909 Robert D. Ray Drive,Des Moines,IA,50309,,,www.dmbotanicalgarden.com
Campbell's Nursery,2342 So. 40th Street,Lincoln ,NE,68506,,,www.campbellsnursery.com
Town and Country Gifts,7 N Franklin Street,Chagrin Falls,OH,44022,,,www.tcgiftschagrin.com
Queen Mary Hotel,1126 Queens Highway,Long Beach,CA,90802,,,www.queenmary.com
Independent Mercantile,78 Scott Street,Murphys,CA,95247,,,www.gocalaveras.com/independent-mercantile
Lurvey's Garden Center,2550 Dempster Street,Des Plaines,IL,60016,,,www.lurveys.com
Saugatuck Tea Company,360 Water Street,Saugatuck,MI,49453,,,www.saugatuckteacompany.com
The Gathered Earth,3402 N. Richmond Street,Appleton,WI,54911,,,www.thegatheredearth.com
